ID,Category,Component,Specification,Qty,Unit,Supplier,Part Number / ASIN / Item,Vendor URL,Unit Cost USD (est),Total Cost USD (est),Notes
E01,Electronics - Control,Microcontroller,ESP32-WROOM-32 38-pin dev board CP2102 USB-UART,1,ea,AliExpress,Item 32864722159,https://www.aliexpress.com/item/32864722159.html,1.83,1.83,GPIO map: 13/25/26/27=relay; 21/22=I2C; 32/34/35=ADC moisture; 33=float; 16-19/5/17=outputs
E01-ALT,Electronics - Control,Microcontroller (Amazon alt),ESP32-WROOM-32 38-pin AITRIP 5-pack,5,ea,Amazon,B09DPH1KXF,https://www.amazon.com/dp/B09DPH1KXF,2.60,13.00,~$2.60/board in 5-pack; CP2102 USB-UART; buy 5 to have spares
E02,Electronics - Control,RTC module,DS3231 + AT24C32 I2C module with coin cell holder,1,ea,AliExpress,Item 4000173986273,https://www.aliexpress.com/item/4000173986273.html,2.13,2.13,I2C address 0x68; CR2032 coin cell included; shares I2C bus with OLED
E03,Electronics - Control,OLED display (optional),0.96-inch 128×64 I2C SSD1306 white,1,ea,AliExpress,Item 32643950109,https://www.aliexpress.com/item/32643950109.html,1.60,1.60,I2C address 0x3C; shares bus with DS3231; GPIO21 SDA / GPIO22 SCL
E04,Electronics - Power,Buck converter,MP1584EN 12V→5V 3A step-down module — set to 5.00V,1,ea,AliExpress,Item 32828603866,https://www.aliexpress.com/item/32828603866.html,0.65,0.65,ONLY conversion stage 1 of 2; pre-adjust to 5.00V before connecting ESP32
E05,Electronics - Power,Fuse holder + fuse,Inline blade fuse holder + 5A automotive blade fuse,1,ea,Any hardware,—,—,1.50,1.50,Protects 12V bus; 5A at 12V = 60W capacity vs 15W peak load
E06,Electronics - Power,Reverse polarity protection,AO3401 P-channel MOSFET SOT-23,1,ea,AliExpress,AO3401,—,0.50,0.50,Source to 12V_in; Drain to fuse; Gate to GND via 10kΩ pull-down
E07,Electronics - Power,Power input jack,5.5/2.1mm DC barrel jack panel-mount positive-centre,1,ea,AliExpress,—,—,0.75,0.75,Left outer wall of base unit; positive tip = +12V
E08,Electronics - Lighting,LED grow strips (primary),12V full-spectrum plant grow strip 5050 red+blue+white,1,ea,AliExpress,Item 32816538353,https://www.aliexpress.com/item/32816538353.html,11.41,11.41,Cut to 3×25cm; fold U-shape per tray; add 10Ω 5W series resistor if >4W; one roll covers all 3 trays
E08-ALT,Electronics - Lighting,LED strips (white alt),Tesfish 12V 2835 6000K 240LED/m 5m roll,1,ea,Amazon,B08T89VRPP,https://www.amazon.com/dp/B08T89VRPP,10.00,10.00,Alt: cut 3×25cm lengths; 6000K full-spectrum white; 5m roll covers all 3 trays with strip to spare
E08-SLED,Electronics - Lighting,LED panel sled (printed),led_panel.stl — 100×100mm PETG sled for strip mounting,3,ea,Self-print,—,—,—,—,Back with aluminium tape for heat sink; conformal-coat strip for humidity protection
E09,Electronics - Actuators,Relay module,4-ch 5V optocoupler hi/lo trigger selectable; JD-VCC isolated,1,ea,AliExpress,Item 32897567002,https://www.aliexpress.com/item/32897567002.html,3.10,3.10,Set to LOW-level trigger; remove VCC-JD-VCC jumper; power JD-VCC from 5V bus separately
E09-ALT,Electronics - Actuators,Relay module (Amazon alt),DIYables 4-ch 5V ESP32-compatible hi/lo trigger,1,ea,Amazon,B0BXKKYH5C,https://www.amazon.com/dp/B0BXKKYH5C,10.00,10.00,Explicitly ESP32 3.3V compatible; documented setup guide available
E10,Electronics - Actuators,Peristaltic pump (primary),INTLLAB 12V DC peristaltic pump 5-100 mL/min 4-pack,4,ea,Amazon,B088TBKNSY,https://www.amazon.com/dp/B088TBKNSY,6.45,25.80,Use 1; keep 3 spare; 3mm ID × 5mm OD silicone tubing; measures actual flow rate to set run time
E10-ALT,Electronics - Actuators,Peristaltic pump (adjustable alt),Gikfun EK1971 12V 8-70 mL/min adjustable + 3m tube,1,ea,Amazon,B0B4FMSJPV / EK1971,https://www.amazon.com/dp/B0B4FMSJPV,18.00,18.00,Adjustable knob for flow rate; includes 3m silicone tube; single pump
E10-ALT2,Electronics - Actuators,Peristaltic pump (AliExpress alt),R385 motor 12V peristaltic head,1,ea,AliExpress,Item 32770860268,https://www.aliexpress.com/i/32770860268.html,5.00,5.00,Budget option; 19-100 mL/min; 3mm ID × 5mm OD tubing; order extra tube
E11,Electronics - Sensors,Reservoir float switch,ZP2508 mini PP vertical float switch NC (normally closed),1,ea,AliExpress,Item 4000246458661,https://www.aliexpress.com/item/4000246458661.html,0.62,0.62,Replaces XKC-Y25-V; NC contact; LOW=low water; install inside reservoir through lid gland; GPIO33 with 10kΩ pull-up
E11-GLAND,Electronics - Sensors,Cable gland for float switch,M5 rubber cable gland Ø3-5mm cable,1,ea,AliExpress,—,—,0.30,0.30,Waterproof float switch wire entry through reservoir lid
E12,Electronics - Sensors,Temperature sensor (optional),DS18B20 waterproof probe 1-Wire 3-5V,1,ea,AliExpress,DS18B20,—,2.00,2.00,Optional; 1-Wire bus; growing chamber temp monitoring; connect to any free GPIO
E13,Electronics - Sensors,Coir moisture sensor — Tray A,Capacitive Soil Moisture Sensor V1.2 analog 3.3V,1,ea,AliExpress,Item 32853373769,https://www.aliexpress.com/item/32853373769.html,1.22,1.22,GPIO34 (ADC1_CH6 input-only); VCC=3.3V; calibrate dry-air vs submerged readings
E14,Electronics - Sensors,Coir moisture sensor — Tray B,Capacitive Soil Moisture Sensor V1.2 analog 3.3V,1,ea,AliExpress,Item 32853373769,https://www.aliexpress.com/item/32853373769.html,1.22,1.22,GPIO35 (ADC1_CH7 input-only); same calibration procedure as E13
E15,Electronics - Sensors,Coir moisture sensor — Tray C,Capacitive Soil Moisture Sensor V1.2 analog 3.3V,1,ea,AliExpress,Item 32853373769,https://www.aliexpress.com/item/32853373769.html,1.22,1.22,GPIO32 (ADC1_CH4); conformal-coat body not tip; insert vertically ~4cm into coir
E15-ALT,Electronics - Sensors,Moisture sensors (Amazon alt 2-pack),Gikfun EK1940 capacitive corrosion-resistant 2-pack,2,ea,Amazon,B07H3P1NRM / EK1940,https://www.amazon.com/dp/B07H3P1NRM,4.50,9.00,Buy 2 (= 4 sensors) covers all 3 trays with 1 spare; ~$4.50/2pk
E16,Electronics - Indicators,Status LED — green 3mm,3mm green LED 2.1V Vf,1,ea,Electronics shop,—,—,0.10,0.10,GPIO18 via 330Ω; power-on indicator; ~4mA
E17,Electronics - Indicators,Status LED — yellow 3mm,3mm yellow LED 2.0V Vf,1,ea,Electronics shop,—,—,0.10,0.10,GPIO19 via 330Ω; reservoir low water alert; ~4mA
